gen,minFit,best_run_id,pop_size,tsize,msize,pmut,ponec,ptwoc,pinv,pblo,pgswap,piswap,seed
1,0.18720710486373995,00010,8,3,4,0.9,0.75,0.45,0.0,0.0,0.0,0.0,0
2,0.18488858515693843,00016,8,3,4,0.9,0.75,0.45,0.0,0.0,0.0,0.0,0
4,0.17888130724342893,00024,8,3,4,0.9,0.75,0.45,0.0,0.0,0.0,0.0,0
8,0.176477222297179,00040,8,3,4,0.9,0.75,0.45,0.0,0.0,0.0,0.0,0
9,0.1732227615347652,00044,8,3,4,0.9,0.75,0.45,0.0,0.0,0.0,0.0,0
15,0.17112061393018824,00066,8,3,4,0.9,0.75,0.45,0.0,0.0,0.0,0.0,0
20,0.1709657962073133,00088,8,3,4,0.9,0.75,0.45,0.0,0.0,0.0,0.0,0
38,0.16969842301263038,00157,8,3,4,0.9,0.75,0.45,0.0,0.0,0.0,0.0,0
49,0.16845076314496926,00202,8,3,4,0.9,0.75,0.45,0.0,0.0,0.0,0.0,0
100,0.16845076314496926,00202,8,3,4,0.9,0.75,0.45,0.0,0.0,0.0,0.0,0
