gen,minFit,best_run_id,pop_size,tsize,msize,pmut,ponec,ptwoc,pinv,pblo,pgswap,piswap,seed
1,1.1976306279888442,00003,8,3,4,0.9,0.75,0.45,0.0,0.0,0.0,0.0,0
8,1.190314967888658,00038,8,3,4,0.9,0.75,0.45,0.0,0.0,0.0,0.0,0
10,1.1705628469939386,00045,8,3,4,0.9,0.75,0.45,0.0,0.0,0.0,0.0,0
15,1.1631111108746026,00068,8,3,4,0.9,0.75,0.45,0.0,0.0,0.0,0.0,0
18,1.0806297044814315,00080,8,3,4,0.9,0.75,0.45,0.0,0.0,0.0,0.0,0
43,1.0676773418043626,00178,8,3,4,0.9,0.75,0.45,0.0,0.0,0.0,0.0,0
54,1.0162959401651344,00219,8,3,4,0.9,0.75,0.45,0.0,0.0,0.0,0.0,0
67,0.9400494669015785,00272,8,3,4,0.9,0.75,0.45,0.0,0.0,0.0,0.0,0
76,0.8649795904391029,00307,8,3,4,0.9,0.75,0.45,0.0,0.0,0.0,0.0,0
77,0.8263751885038885,00313,8,3,4,0.9,0.75,0.45,0.0,0.0,0.0,0.0,0
82,0.825027357785681,00331,8,3,4,0.9,0.75,0.45,0.0,0.0,0.0,0.0,0
100,0.825027357785681,00331,8,3,4,0.9,0.75,0.45,0.0,0.0,0.0,0.0,0
