y,R_0,R_1,R_2,R_3,R_4,R_5
0.12137658,0.00010246498,7.3395256e-08,-2.6976761e-09,0.00010221783,-2.7568896e-06,1.948556e-07
0.12358373,0.0093401786,0.00011462286,-3.04124e-07,0.0090703813,-0.00020397419,1.7290668e-05
0.12578941,0.034628177,0.00049712854,-2.4984818e-08,0.033229023,-0.00065570143,6.3343753e-05
0.1279926,0.05866294,0.00090400437,-8.2704898e-06,0.056922672,-0.0010265478,0.00010851043
0.13019228,0.070634762,0.0011102126,-2.4950284e-05,0.070172517,-0.0011890678,0.00013376832
0.13238745,0.078065068,0.0013250152,-4.0652204e-05,0.078811129,-0.0012509047,0.00015023592
0.13575579,0.083322736,0.0014512861,-4.7096729e-05,0.084267588,-0.0012142446,0.00016063744
0.13954138,0.086305423,0.0014520096,-4.4233464e-05,0.086519286,-0.0011130749,0.00016492981
0.14378684,0.087101399,0.0014677795,-3.9444173e-05,0.086076482,-0.00097747465,0.0001640857
0.14853467,0.085977371,0.0014949484,-3.4298994e-05,0.083421213,-0.00082172609,0.00015902402
0.15395727,0.082840595,0.001453308,-2.8633039e-05,0.078855733,-0.00065501425,0.00015032094
0.1600645,0.077472974,0.001282881,-2.235795e-05,0.072629363,-0.00048936641,0.00013845175
0.16687836,0.069827742,0.0010598896,-1.5993672e-05,0.064762129,-0.00033466987,0.00012345462
0.17447063,0.06002141,0.0008556,-9.9119609e-06,0.055288583,-0.00019831419,0.00010539541
0.18309593,0.048394904,0.00067591986,-4.3297559e-06,0.044484056,-8.4151714e-05,8.4798974e-05
0.19224766,0.035763538,0.00052181696,-1.9864257e-07,0.032943378,-2.7842138e-05,6.2799236e-05
0.19269558,0.035101661,0.00051696457,-6.5837021e-08,0.032345,-1.5699618e-06,6.165856e-05
0.20537469,0.022256052,0.00040084393,-1.2069615e-06,0.020688695,-2.6165616e-05,3.9438403e-05
0.21896753,0.012022612,0.00026989508,-1.338079e-06,0.011286547,-3.1619045e-05,2.1515295e-05
0.23349901,0.0055546187,0.00014885432,-1.1448575e-06,0.0052616275,-3.1852425e-05,1.0030124e-05
0.24897147,0.0025161442,7.4688295e-05,-9.0741062e-07,0.002399793,-2.4511596e-05,4.5746724e-06
