y,R_0,R_1,R_2,R_3,R_4,R_5
0.38090681,1.5010844e-06,-1.0667162e-08,7.5605265e-12,1.4913169e-06,-7.3224151e-10,2.8428645e-09
0.38196392,0.00013058458,-6.5364131e-06,5.5088975e-09,0.0001181263,-8.6733215e-08,2.2518155e-07
0.3830212,0.0016995504,-0.00013044749,7.3510312e-09,0.00098377851,-5.8035035e-07,1.8753553e-06
0.38407853,0.0068532266,-0.00051584264,-3.7194775e-07,0.0024880587,-8.6186989e-07,4.7429314e-06
0.38513582,0.013485887,-0.00099061896,-1.255868e-06,0.003636802,-4.2320422e-07,6.9327554e-06
0.38619293,0.018475328,-0.0012996923,-2.3010374e-06,0.004170157,5.4970044e-07,7.9494783e-06
0.38781977,0.020887223,-0.0013986825,-3.1938563e-06,0.0042911367,2.0691616e-06,8.1800992e-06
0.38965657,0.020423486,-0.0013388081,-3.7383536e-06,0.0040918214,3.5187845e-06,7.8001489e-06
0.39172956,0.018052302,-0.0012035284,-4.0204051e-06,0.0036820271,4.3295782e-06,7.0189671e-06
0.39406784,0.01447059,-0.0010084553,-4.0499035e-06,0.0032209325,3.9219763e-06,6.1399925e-06
0.39675555,0.010397285,-0.00077095153,-3.5908455e-06,0.002810654,2.7803107e-06,5.3578877e-06
0.39980767,0.0067684491,-0.000555938,-2.5230486e-06,0.0025177998,1.2942156e-06,4.7996263e-06
0.40324932,0.0043169008,-0.00039795251,-1.4942991e-06,0.0023987258,-1.256252e-06,4.572638e-06
0.40712951,0.003068922,-0.00027543581,-1.0929103e-06,0.0024737402,-3.7261276e-06,4.7156364e-06
0.41157921,0.0025813185,-0.00015009168,-1.1577991e-06,0.0026489825,-4.8804571e-06,5.0496969e-06
0.41663086,0.0024362194,-7.8650045e-06,-1.2024433e-06,0.0028397212,-4.8104908e-06,5.4132978e-06
0.42429,0.0024161399,0.00015442579,-1.0356258e-06,0.0029962444,-3.9943987e-06,5.7116746e-06
0.43259442,0.0024322597,0.00032468411,-9.5252351e-07,0.0030852283,-3.1319859e-06,5.8813027e-06
0.44158154,0.0024552166,0.00049422666,-8.1424431e-07,0.0031024751,-2.1413146e-06,5.9141798e-06
0.4512802,0.0024825727,0.00064799862,-2.2708998e-07,0.0030454864,-1.2008217e-06,5.8055435e-06
0.46177566,0.0025068894,0.00075643486,2.527835e-07,0.0029359464,-8.1902631e-07,5.5967297e-06
0.47317198,0.0025206917,0.00082526759,4.1293693e-07,0.0028229092,-7.6517017e-07,5.3812494e-06
0.48550085,0.0025247804,0.00087046385,4.124185e-07,0.0027323057,-6.700317e-07,5.2085341e-06
0.49884483,0.0025256643,0.00090316185,3.0856272e-07,0.0026627359,-4.9969215e-07,5.0759146e-06
0.5132859,0.0025299089,0.00093303378,1.8586842e-07,0.0026060023,-3.0979276e-07,4.9677647e-06
0.5289387,0.002539682,0.00096370065,7.3640292e-08,0.0025568393,-1.2777548e-07,4.8740463e-06
0.54182828,0.0025514957,0.00098845839,-6.0283904e-09,0.0025228915,-1.237807e-06,4.8093324e-06
0.54585479,0.0025551999,0.00099612569,2.0119683e-08,0.0025121303,-4.1414249e-08,4.7888186e-06
0.56409447,0.0025765456,0.0010306879,9.1176957e-08,0.0024694271,-1.990766e-07,4.7074143e-06
0.58382751,0.0026044161,0.0010682022,1.427881e-07,0.0024262809,-3.3549167e-07,4.6251657e-06
0.60510776,0.0026402429,0.0011093413,1.7334354e-07,0.0023791045,-4.4737275e-07,4.5352345e-06
0.62804061,0.0026860585,0.001154456,1.8241676e-07,0.0023240826,-5.3144608e-07,4.4303475e-06
0.65272386,0.0027449731,0.0012035439,1.7166474e-07,0.0022570176,-5.8422552e-07,4.3025029e-06
