y,R_0,R_1,R_2,R_3,R_4,R_5
0.27394201,0.0092705208,2.3861909e-07,-3.4754338e-09,0.0092517079,-6.2719388e-05,1.7636327e-05
0.27527256,0.25065548,-1.185329e-05,-2.1160325e-07,0.2493585,-0.0011367861,0.00047534661
0.27660319,0.65778658,-0.0002401893,-6.7326085e-07,0.65302153,-0.0022254862,0.0012448405
0.27793359,0.90525231,-0.00062206753,-1.7228213e-06,0.89710591,-0.0022052986,0.0017101332
0.27926347,1.0001272,-0.00081938806,-3.2829142e-06,0.99059659,-0.0019872561,0.0018883524
0.28059253,1.0219241,-0.00081493903,-4.5697494e-06,1.0124497,-0.0018542249,0.0019300106
0.28263629,1.0015346,-0.00063634023,-4.9593386e-06,0.99330122,-0.0019394468,0.0018935082
0.28494087,0.96338499,-0.00036201587,-3.9371312e-06,0.95717765,-0.0022847264,0.0018246466
0.28753707,0.93743941,-0.00015911603,-2.0025529e-06,0.93309373,-0.0027241163,0.001778736
0.29045807,0.93419504,-6.756395e-05,-5.0428453e-07,0.93111993,-0.0030940027,0.0017749734
0.29381963,0.95234392,-4.9377789e-05,7.8253141e-08,0.94991997,-0.0033016394,0.0018108115
0.29763208,0.98567656,-6.0919932e-05,2.531365e-07,0.98346449,-0.0033251525,0.0018747567
0.30191798,1.0273565,-9.0768117e-05,4.6960978e-07,1.025086,-0.0031774446,0.0019540988
0.30673378,1.0724409,-0.000148323,7.7666422e-07,1.0699152,-0.0028762012,0.0020395558
0.31225697,1.1173351,-0.00024500525,1.0540829e-06,1.1143852,-0.0024197725,0.002124328
0.31851127,1.1626011,-0.00039365969,1.1455787e-06,1.159093,-0.0018237636,0.0022095533
0.32795653,1.2022003,-0.00057023245,6.6712392e-07,1.1981604,-0.00083483598,0.0022840266
0.33588533,1.2220035,-0.00066609828,-1.1989865e-06,1.2177802,0.00012557856,0.0023214275
0.33812599,1.2289367,-0.00069482912,1.4657568e-07,1.2246551,-0.00018094068,0.002334533
0.34895087,1.2420112,-0.00070618693,8.0144021e-07,1.2378974,-0.0010117937,0.0023597765
0.36059818,1.2382352,-0.00060647823,1.2587674e-06,1.2346071,-0.0018143561,0.0023535043
0.37317089,1.2193665,-0.00044489355,1.392698e-06,1.2163237,-0.0025379501,0.0023186511
0.386797,1.1869944,-0.00026488919,1.1821523e-06,1.1844454,-0.0031341975,0.0022578821
0.40149722,1.1423473,-8.1102395e-05,7.1014032e-07,1.140112,-0.0035524751,0.0021733704
