y,U_0,U_1,U_2
0.29714219,0.16298066,0.036703968,-0.00024955228
0.29840047,0.54572987,0.12101025,-0.00074117382
0.29965887,0.9442472,0.20753982,-0.0011517982
0.30091714,1.2610365,0.27627637,-0.0014222077
0.30217502,1.5190127,0.33183599,-0.0015890599
0.30343227,1.7523987,0.38150591,-0.0016876105
0.30536595,1.9772542,0.42826147,-0.0017043248
0.30754708,2.1644112,0.46558788,-0.0016420397
0.31000524,2.3002292,0.49055123,-0.0015226589
0.31277254,2.392849,0.50487515,-0.0013753002
0.31595817,2.4528823,0.510832,-0.0012189631
0.31957289,2.4909423,0.51078694,-0.0010661961
0.3236394,2.5171605,0.50703291,-0.00092147295
0.32821226,2.5397956,0.50134312,-0.00078306072
0.33345938,2.5642668,0.4947961,-0.00064489495
0.33940595,2.5956729,0.48731522,-0.00050391776
0.34839653,2.6368151,0.47835639,-0.00031631815
0.35812693,2.6820383,0.4684932,-0.00013682835
0.36664869,2.7168447,0.45972432,-0.00016592637
0.36860624,2.724815,0.45771045,-2.8280129e-05
0.37976893,2.7614276,0.44540378,-0.00017161339
0.39183143,2.7898642,0.4311092,-0.00029805431
0.40491793,2.8085275,0.41465792,-0.00040350123
0.419052,2.8167685,0.39615399,-0.00048387632
0.43432536,2.8149711,0.37588521,-0.00053759036
0.45082746,2.8043634,0.35423919,-0.00056459754
0.46869049,2.7867769,0.33166386,-0.00056647462
0.4879732,2.7644055,0.30863927,-0.00049542017
0.50875512,2.7394821,0.28558504,-0.00036805291
0.53119532,2.7139395,0.26282531,-0.0002673563
0.55534048,2.6891051,0.24061235,-0.00019088662
0.58130698,2.6653557,0.21907221,-0.00013500452
0.60920197,2.6418954,0.19818299,-9.5486288e-05
0.63913284,2.6172821,0.17810383,-6.8177091e-05
0.66908893,2.5909125,0.15952397,-5.0166377e-05
0.6970676,2.563623,0.1429957,-3.8670885e-05
0.72319458,2.5364318,0.12845588,-3.123551e-05
0.74759214,2.5095865,0.11561153,-2.6207366e-05
0.77037665,2.4827052,0.10417672,-2.2631508e-05
0.79165787,2.455324,0.093914354,-2.0019853e-05
0.81153642,2.4274634,0.08465239,-1.8095733e-05
0.83010657,2.4001501,0.076269287,-1.6691525e-05
0.84745522,2.3756477,0.068659994,-1.5731309e-05
0.86366335,2.3561022,0.061718957,-1.5058656e-05
0.87880614,2.3406015,0.05536162,-1.441557e-05
0.89295351,2.3238433,0.049523655,-1.3769267e-05
0.90617074,2.2982586,0.044122308,-1.3337966e-05
0.91851868,2.2571416,0.039044153,-1.3257332e-05
0.93005421,2.1961331,0.034173193,-1.3452372e-05
0.94083044,2.1129814,0.029417156,-1.3777017e-05
0.95089703,2.015085,0.025036701,-1.4080466e-05
0.95756118,1.9189956,0.02142054,-1.4190475e-05
0.96346148,1.8259002,0.018335164,-1.4110093e-05
0.96868531,1.7292306,0.015470427,-1.3780544e-05
0.97331005,1.6293426,0.012826788,-1.3156965e-05
0.9774043,1.5258701,0.010411617,-1.2231925e-05
0.98102882,1.417806,0.0082361973,-1.1028351e-05
0.98423741,1.3036568,0.0063129266,-9.592015e-06
0.98707775,1.181627,0.004652044,-7.9880227e-06
0.98959206,1.0497834,0.0032530626,-6.3046425e-06
0.99181772,0.91550453,0.0021825309,-4.7356282e-06
0.9932636,0.78924682,0.0014390342,-3.4370411e-06
0.99470959,0.65658358,0.00084417352,-2.3417899e-06
0.99615569,0.49669014,0.0003486028,-1.3304653e-06
0.9976019,0.28561951,-2.5039236e-05,-3.9948671e-07
0.99904822,0.090739305,-0.00010608446,2.2417076e-08
