y,R_0,R_1,R_2,R_3,R_4,R_5
0,0.40108487,-3.2611341e-14,2.3452512e-16,7.8899364e-14,-3.4448206e-15,1.5040412e-16
0.00080519031,0.40641154,-0.011853677,5.6812194e-17,0.17410638,-1.1058862e-16,0.00033189515
0.0015340557,0.40911291,-0.022524692,2.5776978e-06,0.33148852,-9.6264192e-06,0.00063190926
0.0030677494,0.41949026,-0.0309697,7.6737053e-06,0.31763486,2.5703809e-05,0.00060550033
0.0046010796,0.41612299,-0.033298967,4.2018365e-06,0.31075691,9.4961228e-05,0.00059238904
0.0061340451,0.40465107,-0.034060968,-7.3804771e-07,0.30054804,0.00015659272,0.0005729281
0.0076666457,0.38558376,-0.033293628,-1.0201877e-06,0.28586338,0.00019366843,0.00054493506
0.010025321,0.35324014,-0.030640557,-5.6240914e-07,0.26176962,0.00022337885,0.00049900565
0.012689193,0.31196385,-0.026852749,9.9455213e-07,0.23113461,0.00021333694,0.0004406068
0.015697617,0.2668261,-0.022796058,3.4435938e-06,0.19780619,0.00018476401,0.00037707358
0.019095007,0.22124628,-0.018836057,5.9048635e-06,0.16431113,0.00015691442,0.00031322268
0.023011427,0.17684892,-0.015081956,7.400255e-06,0.1317069,0.00013694764,0.00025106995
0.027466575,0.13542522,-0.011593185,7.4923379e-06,0.10118705,0.00012210258,0.00019289064
0.032497149,0.098858066,-0.008448113,5.3761933e-06,0.074157184,0.00011149667,0.0001413642
0.038177106,0.068151395,-0.0056914888,-2.1194704e-07,0.051453669,0.00010477251,9.8084995e-05
0.044710693,0.043973968,-0.0034292405,-8.8457212e-06,0.033657405,9.9428672e-05,6.4160369e-05
0.052148107,0.025897033,-0.0018270411,-1.512119e-05,0.020337712,8.8626384e-05,3.8769332e-05
0.063461595,0.014408004,-0.00098569357,-1.2601444e-05,0.011722459,5.5693222e-05,2.2346265e-05
0.075789638,0.0096989858,-0.00074098366,-7.8051846e-06,0.0080709898,2.365586e-05,1.538555e-05
0.089201173,0.0085099915,-0.00074592717,-4.5798637e-06,0.0071258611,1.084255e-05,1.3583872e-05
0.103753,0.0083667477,-0.00080794129,-2.068958e-06,0.0070540511,4.7538519e-06,1.3446982e-05
0.11959706,0.008440352,-0.0008836141,-2.000885e-08,0.0071859188,4.8352652e-08,1.3698358e-05
0.11977963,0.0084416644,-0.00088451362,3.9658974e-08,0.0071880335,-4.3504119e-07,1.370239e-05
0.150038,0.0085815261,-0.00097463812,1.747739e-06,0.0075927942,-1.6928293e-05,1.4473976e-05
0.18127547,0.0087485952,-0.0010635317,3.3839642e-06,0.0080504004,-2.6501094e-05,1.5346301e-05
0.21316663,0.0089412373,-0.0011475652,3.5356884e-06,0.0085663825,-2.0524698e-05,1.6329906e-05
0.245709,0.009153141,-0.0012218626,2.7728104e-06,0.0091494897,-1.0882967e-05,1.744147e-05
0.27898347,0.0093749787,-0.0012777176,1.8264557e-06,0.0098121152,-4.3822261e-06,1.8704619e-05
0.31294217,0.0095924138,-0.0012988296,4.2583398e-07,0.010567515,-5.5093578e-07,2.014462e-05
0.32122158,0.0096407108,-0.0012918101,1.3696876e-06,0.010772125,-2.7078155e-06,2.0534663e-05
0.34483038,0.0097794398,-0.001229642,2.4714313e-06,0.011371104,2.6018476e-07,2.1676484e-05
0.37750814,0.0099553704,-0.0010453923,6.5077391e-06,0.01227138,4.8109432e-07,2.3392661e-05
0.41192582,0.010151615,-0.00064049752,1.0837298e-05,0.013257695,-1.2641374e-07,2.5272852e-05
0.44821738,0.010739444,9.1376595e-05,1.2492255e-05,0.013937371,1.4007696e-06,2.6568504e-05
0.48652131,0.011842916,0.00083342698,1.2393247e-05,0.014292451,4.6501718e-06,2.7245384e-05
0.52699697,0.013177171,0.0013197115,1.1988641e-05,0.014635142,4.8481615e-06,2.7898649e-05
0.56701211,0.014511766,0.0016022821,1.0403907e-05,0.01503161,3.3469709e-06,2.8654426e-05
0.60405537,0.015723798,0.0017713357,8.8672036e-06,0.015465355,2.1352891e-06,2.9481266e-05
0.63843974,0.016797924,0.0018731998,7.5447528e-06,0.015898934,1.2500362e-06,3.0307787e-05
0.67042181,0.017750752,0.0019347969,6.48457e-06,0.016316408,6.3648245e-07,3.1103609e-05
0.70021555,0.01860488,0.0019720065,5.638276e-06,0.016713284,2.8244221e-07,3.1860165e-05
0.72800329,0.019384895,0.0019942177,4.9448403e-06,0.017094563,2.0713712e-07,3.2586988e-05
0.7539404,0.020115843,0.0020066972,4.3544117e-06,0.017472602,4.3561508e-07,3.3307635e-05
0.77816393,0.020824991,0.0020122514,3.8399163e-06,0.017867638,1.0071901e-06,3.4060684e-05
0.80079528,0.021547062,0.0020129656,3.4023759e-06,0.018308977,1.9671236e-06,3.4901998e-05
0.82194415,0.022332888,0.0020125044,3.0700083e-06,0.018836622,3.3513214e-06,3.5907837e-05
0.84171025,0.023259163,0.0020184977,2.8840159e-06,0.01950276,5.1662261e-06,3.717768e-05
0.8601851,0.024434867,0.0020439852,2.8717439e-06,0.020372237,7.3607153e-06,3.8835147e-05
0.87745332,0.025997972,0.0021064624,3.0135714e-06,0.021520366,9.7920599e-06,4.1023799e-05
0.89359345,0.028095507,0.0022237375,3.2239235e-06,0.023027265,1.2210183e-05,4.3896367e-05
0.90867863,0.030839478,0.0024054373,3.3628113e-06,0.024967712,1.4240139e-05,4.7595399e-05
0.9227771,0.034231271,0.0026357516,3.3054406e-06,0.027398365,1.5277901e-05,5.2228898e-05
0.93595268,0.037863058,0.0028660272,3.0077887e-06,0.030106819,1.4986109e-05,5.7391966e-05
0.94467792,0.041233537,0.0030919602,2.6091692e-06,0.032607125,1.389638e-05,6.2158243e-05
0.95240505,0.044347584,0.0033215334,2.2583185e-06,0.034846518,1.2660305e-05,6.6427148e-05
0.95924776,0.047251693,0.0035266083,1.9858928e-06,0.036961423,1.1615477e-05,7.0458745e-05
0.96530693,0.049852826,0.0037009049,1.8159821e-06,0.038876957,1.1104251e-05,7.4110285e-05
