y,U_0,U_1,U_2
0.3176601,0.14677119,0.028836973,-0.00014095656
0.31886081,0.51162417,0.099651043,-0.00044198418
0.32006166,0.82574203,0.15977995,-0.00064608667
0.32126244,0.95418946,0.18381112,-0.00070220593
0.32246294,1.0151621,0.19488846,-0.00072023723
0.32366294,1.058616,0.20244851,-0.00072375319
0.32550887,1.0931257,0.20792233,-0.00070913743
0.32759153,1.1190409,0.21144684,-0.00068310764
0.32993957,1.1378663,0.21336166,-0.00065011231
0.33258421,1.1521209,0.2141404,-0.00061259653
0.33562878,1.1634615,0.21406225,-0.00057070644
0.33908467,1.1727942,0.21329193,-0.0005250307
0.34297482,1.1807178,0.21193969,-0.00047598786
0.34735225,1.1876825,0.21006278,-0.00042359904
0.35237631,1.1939949,0.20767187,-0.00036693263
0.35807357,1.2002676,0.20452152,-0.00030617165
0.36669474,1.2066771,0.20027524,-0.0002241814
0.37603305,1.2124571,0.19531636,-0.00014463412
0.38612484,1.2173153,0.1899839,-6.9535167e-05
0.39699399,1.2213231,0.18432718,-2.8958418e-07
0.39704491,1.2213369,0.18430105,-1.8835568e-06
0.40862673,1.2244562,0.17842056,-5.7193904e-05
0.42125545,1.2267687,0.17216326,-0.00010865295
0.43490654,1.2282262,0.1655557,-0.00015262244
0.44967033,1.2288032,0.15860165,-0.00018795412
0.46563529,1.2284877,0.15131235,-0.00021377277
0.48293049,1.227253,0.14369006,-0.00022951147
0.50161587,1.2250291,0.13573253,-0.00023465883
0.52177092,1.2217124,0.12744299,-0.00022963427
0.54355051,1.2171842,0.11883341,-0.00019536215
0.5670029,1.2113236,0.10993126,-0.0001490207
0.5922421,1.2040204,0.10076001,-0.00011179756
0.619373,1.1952254,0.091355552,-8.2810932e-05
0.64850024,1.1852003,0.081957574,-6.1451848e-05
0.67766514,1.1746886,0.07311323,-4.6960029e-05
0.70491352,1.1643923,0.065207748,-3.7371538e-05
0.73036377,1.1545099,0.058216428,-3.0757196e-05
0.75413226,1.1450046,0.051996352,-2.5983027e-05
0.77633059,1.1358286,0.046431835,-2.2394333e-05
0.79706459,1.126934,0.041428205,-1.9602222e-05
0.81643166,1.1182719,0.036907982,-1.7366312e-05
0.83452331,1.1097902,0.032807622,-1.553476e-05
0.85142408,1.1014297,0.029074803,-1.4004751e-05
0.86721284,1.0931215,0.025665963,-1.2702866e-05
0.88196289,1.0847823,0.022544658,-1.1573342e-05
0.89574247,1.0763105,0.019680167,-1.0571322e-05
0.90861526,1.067578,0.017046297,-9.6591249e-06
0.92064068,1.058422,0.014620751,-8.8045267e-06
0.93187423,1.0486187,0.012383815,-7.978321e-06
0.94236777,1.0378795,0.010320586,-7.1532758e-06
0.95216976,1.0266313,0.0085440622,-6.3594422e-06
0.95865846,1.0160107,0.0071718336,-5.6527202e-06
0.96440324,1.0056592,0.0060717498,-4.9717441e-06
0.96948922,0.99458624,0.0051076892,-4.2699517e-06
0.97399182,0.98256231,0.0042626207,-3.6053983e-06
0.97797784,0.96928757,0.0035232353,-2.9782345e-06
0.98150647,0.954322,0.0028772331,-2.39195e-06
0.98463013,0.93701946,0.0023148463,-1.8542156e-06
0.98739525,0.91628841,0.0018238631,-1.3708732e-06
0.98984293,0.89042516,0.0014050813,-9.4802467e-07
0.99200959,0.85809222,0.001053516,-6.1487298e-07
0.99341712,0.81808461,0.00081339197,-3.662252e-07
0.99482475,0.76105025,0.00057222436,-2.0363954e-07
0.99623248,0.63770461,0.00022851652,-8.6726038e-08
0.9976403,0.37343562,1.577893e-05,5.8850665e-08
0.99904822,0.11042857,-9.4022471e-06,7.7757526e-08
