y,U_0,U_1,U_2
0.39879495,0.056153577,-0.0083644144,1.151576e-05
0.39997922,0.24788204,-0.040060432,1.5215837e-05
0.40116356,0.52713109,-0.088111141,-1.3951405e-05
0.40234785,0.78177196,-0.12995976,-6.1133052e-05
0.40353198,0.98394555,-0.16087557,-0.0001103994
0.40471583,1.1629319,-0.18807893,-0.00016365617
0.40653754,1.3432312,-0.21481176,-0.00022648403
0.40859415,1.5122218,-0.23859225,-0.00029297562
0.41091501,1.6628513,-0.25862189,-0.00035765717
0.41355021,1.7988785,-0.27546027,-0.00041945877
0.41652792,1.9223395,-0.28948809,-0.00047722353
0.41988767,2.0347985,-0.30099425,-0.00053019133
0.423678,2.138048,-0.31023862,-0.00057808488
0.42798222,2.2337621,-0.3174368,-0.00062095502
0.43283798,2.3232472,-0.32275501,-0.00065856748
0.43832591,2.4153656,-0.32662234,-0.00069199368
0.44663187,2.5144098,-0.32874946,-0.00072800933
0.45554017,2.6082542,-0.32855807,-0.0007556178
0.46508557,2.689627,-0.32596826,-0.00077478387
0.47531698,2.7585919,-0.32111194,-0.00078607468
0.486285,2.8155485,-0.31420808,-0.00078811219
0.49804226,2.8611531,-0.30551778,-0.00078098021
0.51064387,2.8958773,-0.29522208,-0.00076569821
0.52414782,2.9203219,-0.28352167,-0.00074206004
0.53861556,2.9358348,-0.27071152,-0.00069874917
0.55411258,2.9444962,-0.25713281,-0.00062885814
0.57070979,2.948293,-0.24302923,-0.00056317847
0.58849034,2.9483835,-0.22853677,-0.00050276346
0.60752818,2.9452099,-0.21377362,-0.00044822243
0.62791671,2.9389118,-0.19880918,-0.00039904734
0.64974938,2.9294666,-0.18367525,-0.00035493518
0.67312901,2.9166958,-0.16841331,-0.00031550555
0.69816777,2.900553,-0.15330665,-0.00028066984
0.72320764,2.8816807,-0.13908591,-0.00025106973
0.74659067,2.861053,-0.12630421,-0.00022653453
0.76842932,2.8390832,-0.11492719,-0.00020595765
0.78882762,2.8157175,-0.1047286,-0.00018424241
0.80788195,2.7907113,-0.095519042,-0.00016083781
0.82568179,2.7635886,-0.087136244,-0.00014075805
0.84231003,2.7336298,-0.079438241,-0.00012338011
0.85784397,2.6999336,-0.072302755,-0.00010818428
0.87235555,2.6615609,-0.06563007,-9.475328e-05
0.88591188,2.6177058,-0.059344354,-8.2766998e-05
0.89857558,2.5678081,-0.053392048,-7.1981375e-05
0.91040516,2.5115392,-0.047736754,-6.2206982e-05
0.92145528,2.4486548,-0.042352328,-5.3291498e-05
0.93177702,2.3787598,-0.037215625,-4.5103062e-05
0.94141812,2.3010478,-0.032301959,-3.7521434e-05
0.95042323,2.2140606,-0.027579338,-3.0425219e-05
0.95883408,2.1228928,-0.023327884,-2.414915e-05
0.96440144,2.0381901,-0.019898699,-1.9254377e-05
0.96933022,1.957155,-0.017026742,-1.5218821e-05
0.97369355,1.8722672,-0.014397221,-1.163216e-05
0.9775562,1.7829233,-0.011997299,-8.5144513e-06
0.98097555,1.6885014,-0.0098212273,-5.8891879e-06
0.98400243,1.5881522,-0.0078694977,-3.7705905e-06
0.98668182,1.4804561,-0.006150665,-2.1459494e-06
0.9890536,1.3628592,-0.004689666,-9.7153664e-07
0.99115304,1.230691,-0.0034298875,-2.3361865e-07
0.9930114,1.0861812,-0.0025545955,1.2974939e-08
0.99421863,0.93664477,-0.0013151624,1.487086e-07
0.99542593,0.75780365,0.00032326831,4.2951158e-07
0.9966333,0.52059162,-0.00027681567,2.9748399e-08
0.99784073,0.25228677,-0.0013216176,-3.9639239e-07
0.99904822,0.066454822,-0.00061473224,-1.6279255e-07
