y,U_0,U_1,U_2
0,0.797386,-5.4162291e-14,-3.6177985e-19
0.0019126049,0.7978799,-4.9221649e-05,3.6278392e-08
0.0038251942,0.7994428,-8.1106669e-05,6.1535301e-08
0.0057377678,0.8020845,-0.00011664406,8.7623e-08
0.0076503257,0.8056656,-0.00015054774,1.1147218e-07
0.009562868,0.81072189,-0.00018542424,1.34517e-07
0.012507132,0.81823722,-0.00022210752,1.536864e-07
0.015833609,0.82792364,-0.00025248522,1.5858554e-07
0.019591912,0.83849332,-0.00027047817,1.406772e-07
0.023856498,0.84842096,-0.0002768302,1.027293e-07
0.02867915,0.85609433,-0.00028114546,7.1283636e-08
0.034127838,0.86092871,-0.00029733046,5.3269986e-08
0.040283818,0.86401626,-0.0003331153,6.8268748e-08
0.047270817,0.86774012,-0.00039832737,7.0104502e-08
0.055166714,0.87523383,-0.00046591219,6.8411071e-08
0.064101715,0.89017727,-0.00060040521,1.5005063e-07
0.077642392,0.90878842,-0.0006316664,5.408729e-08
0.092189642,0.92481087,-0.00074635628,9.994057e-08
0.10780925,0.94634053,-0.00088889549,6.2681287e-08
0.12458479,0.97675384,-0.0010032237,3.5106588e-08
0.14260383,0.99701293,-0.0011108233,5.5817463e-08
0.16195844,1.0065304,-0.0011731597,5.9299708e-09
0.17460067,1.0134088,-0.0013373543,-1.8067076e-06
0.18274563,1.0178293,-0.0014442974,5.4399461e-08
0.20506795,1.0276684,-0.0019206825,4.918054e-07
0.229034,1.0344109,-0.0025595031,1.1090165e-06
0.25475912,1.0397409,-0.0031614668,1.8007221e-06
0.28236682,1.0451165,-0.0036838366,2.3818138e-06
0.31199692,1.0510764,-0.0040419826,2.5707126e-06
0.34378009,1.0574465,-0.0041718714,2.3889453e-06
0.37787146,1.0636671,-0.0040831938,2.046476e-06
0.4144275,1.0690034,-0.0038221186,1.7047721e-06
0.45361706,1.0727751,-0.0034398511,1.3917452e-06
0.49562123,1.0744577,-0.0029829141,1.0937386e-06
0.53764612,1.0739114,-0.0025100696,8.1654497e-07
0.57689471,1.0715475,-0.0020691585,5.6954762e-07
0.61354575,1.0678792,-0.0016759133,3.5204852e-07
0.64776848,1.0632456,-0.0013321011,1.6105301e-07
0.67972232,1.0578578,-0.0010365705,-4.5278554e-09
0.709557,1.0518524,-0.00078679517,-1.4488037e-07
0.73741246,1.0453233,-0.00057951673,-2.6029678e-07
0.76341982,1.0383366,-0.00041103671,-3.5147377e-07
0.78770153,1.0309379,-0.00027746952,-4.1952063e-07
0.81037202,1.0231547,-0.00017483801,-4.6581549e-07
0.83153817,1.0149947,-9.9258648e-05,-4.9187414e-07
0.85129978,1.006443,-4.6786666e-05,-4.9922299e-07
0.86975003,0.99745405,-1.3788922e-05,-4.8942364e-07
0.88697595,0.98794348,3.7312776e-06,-4.6403339e-07
0.90305878,0.97776056,8.9974888e-06,-4.2487802e-07
0.91807437,0.96668482,5.9895405e-06,-3.7400694e-07
0.93209354,0.95520897,-6.9367538e-07,-3.1839512e-07
0.94137025,0.94451632,-7.9944966e-06,-2.6832711e-07
0.94958095,0.93418701,-1.3685773e-05,-2.2433922e-07
0.95684814,0.92322807,-1.7693914e-05,-1.8383008e-07
0.96328025,0.91141523,-2.0157192e-05,-1.4773541e-07
0.96897323,0.89846071,-2.0889794e-05,-1.1650058e-07
0.97401202,0.88394691,-1.9948328e-05,-9.0225965e-08
0.97847179,0.8672655,-1.8357097e-05,-6.8695313e-08
0.98241909,0.84737069,-1.3808317e-05,-5.1483833e-08
0.98591279,0.82264764,-2.1323242e-05,-3.7899691e-08
0.98900502,0.79164502,-9.277657e-06,-2.799783e-08
0.99101366,0.75302447,-5.8242709e-05,-2.0890832e-08
0.9930223,0.69662548,-1.9591421e-05,-1.4737987e-08
0.99503094,0.57361093,0.00016214874,-9.4850154e-09
0.99703958,0.32630534,9.3406487e-06,-2.8628883e-09
0.99904822,0.09538501,-0.00012228666,8.3702766e-10
